Index,POSTCODE,CURRENT_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,TRANSACTION_TYPE,ENERGY_CONSUMPTION_CURRENT,TOTAL_FLOOR_AREA,ENERGY_TARIFF,FLOOR_LEVEL,GLAZED_TYPE,GLAZED_AREA,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,HOT_WATER_ENERGY_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,WINDOWS_ENERGY_EFF,WALLS_ENERGY_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,MAINHEAT_ENERGY_EFF,MAINHEATC_ENERGY_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,CONSTRUCTION_AGE_BAND,TENURE
8545,53.3809,53,1,3,7,187,68,12,0,5,3,4,4,100,2,11,0,3,4,150,4,2,3,100,5,1999,1
8547,53.2421,68,1,1,2,244,60,12,0,3,3,4,4,40,4,12,0,3,4,150,4,4,4,40,3,2004,3
8549,53.5379,69,1,4,2,236,65,12,0,3,3,4,4,100,4,10,0,3,4,100,3,4,3,100,5,1993,3
8564,53.3809,69,3,2,7,220,83,12,0,5,3,4,4,33,4,21,0,3,4,150,4,4,4,33,3,1999,1
8567,53.3809,70,1,1,7,214,79,12,0,5,3,4,4,30,4,10,0,3,4,75,3,4,3,30,3,1979,1
8577,53.3809,25,3,2,7,538,85,12,0,0,3,5,4,18,2,10,0,1,3,100,3,2,1,18,2,1979,1
8579,53.5379,54,1,1,9,349,72,12,0,5,3,4,4,67,4,10,0,3,1,100,3,4,4,67,4,1915,5
8583,53.2421,54,3,4,1,543,50,24,0,3,3,3,3,50,1,10,0,3,4,200,4,3,2,50,4,1958,5
8593,53.3809,64,1,2,7,247,151,24,0,4,3,6,6,92,4,10,0,4,1,300,5,4,3,92,5,1940,1
8595,53.4703,40,1,2,7,212,162,12,0,4,3,7,6,16,2,10,0,4,1,100,3,2,3,16,2,1915,1
8599,53.5379,53,1,2,7,344,116,12,0,5,3,5,5,58,4,20,0,3,1,250,4,4,3,58,4,1940,1
8600,53.5379,63,1,3,2,245,162,12,0,5,3,6,6,13,4,10,0,3,2,250,4,4,4,13,2,1900,3
8603,53.5379,52,1,2,7,300,193,0,0,5,3,8,8,12,4,10,0,3,1,200,4,4,4,12,2,1915,1
8604,53.2667,56,3,2,7,233,95,12,0,3,3,5,5,15,3,10,0,3,4,250,4,3,3,15,2,1979,1
8607,53.3809,39,1,2,2,820,72,24,0,5,3,5,5,78,3,10,0,3,1,250,4,3,2,78,5,1915,3
8610,53.2667,65,1,4,2,289,58,24,0,5,3,3,3,50,3,11,0,3,4,200,4,4,4,50,4,1999,3
8612,53.2558,75,1,1,7,167,89,12,0,4,3,5,5,100,4,12,0,4,4,100,3,4,4,100,5,2007,1
8619,53.3809,63,3,2,7,286,56,12,0,3,3,3,3,12,4,10,0,3,4,270,4,4,4,12,2,1987,1
8620,53.2667,72,1,1,7,204,80,12,0,3,3,5,5,100,4,10,0,3,4,150,4,4,4,100,5,1958,1
8625,53.3809,65,1,1,13,189,84,12,0,5,3,4,4,78,4,10,0,3,4,200,4,3,4,78,5,1940,1
8626,53.3809,87,3,4,12,78,56,24,0,3,3,3,3,83,1,10,0,3,4,300,5,4,3,83,5,1958,5
8627,53.5379,76,1,2,7,144,178,12,0,4,3,8,8,50,4,12,0,4,4,250,4,4,4,50,4,2004,1
8633,53.2558,69,1,2,7,194,196,12,0,3,3,8,8,82,4,10,0,3,3,250,4,4,4,82,5,1958,1
8639,53.2667,52,1,1,1,275,83,12,0,4,3,4,3,11,3,10,0,4,4,200,4,3,3,11,2,1958,5
8644,53.5379,63,3,2,7,293,68,0,0,3,3,4,4,60,4,10,0,3,4,200,4,4,4,60,4,1915,1
8645,53.2421,74,3,2,7,175,88,12,0,5,3,5,5,70,4,22,0,3,4,200,4,4,4,70,5,2004,1
8651,53.3809,61,2,3,7,333,58,0,1,0,3,3,3,100,4,0,0,1,1,150,4,4,4,100,5,1900,1
8655,53.2558,57,3,2,2,346,70,12,0,3,3,4,4,30,4,10,0,3,4,150,4,4,4,30,3,1958,3
8658,53.2558,68,1,1,7,233,74,12,0,3,3,5,5,50,4,11,0,3,4,100,3,4,4,50,4,1999,1
8660,53.5379,48,1,4,7,621,67,24,0,0,3,3,3,100,3,10,0,1,3,100,3,3,3,100,5,1958,1
8662,53.5379,58,1,3,9,295,86,12,0,5,3,4,4,60,4,10,0,3,1,200,4,4,4,60,4,1915,5
8663,53.5379,60,1,3,2,284,82,12,0,5,3,4,4,88,4,10,0,3,1,200,4,4,4,88,5,1915,3
8664,53.5379,86,3,2,13,126,56,12,0,3,3,5,5,80,4,20,0,3,4,200,4,4,3,80,5,1958,1
8666,53.2558,66,1,2,7,210,311,0,0,2,4,10,10,33,4,10,0,1,3,200,4,4,4,33,3,1971,1
8668,53.5379,63,1,3,2,274,80,12,0,5,3,4,4,40,4,10,0,3,1,200,4,4,3,40,3,1915,3
8678,53.2558,63,1,1,14,257,124,12,0,3,3,5,5,50,4,10,0,3,2,12,1,4,4,50,4,1958,5
8679,53.5379,37,3,2,14,278,178,12,0,5,3,5,5,45,3,20,0,3,2,12,1,3,3,45,4,1958,1
8682,53.2667,67,1,4,7,262,62,12,0,3,3,5,5,67,4,11,0,3,4,100,3,4,4,67,4,1999,1
8683,53.2421,60,1,2,13,164,238,24,0,4,3,7,7,91,3,10,0,4,2,270,4,3,4,91,5,1971,1
8686,53.2667,42,3,4,1,691,59,24,0,3,3,3,3,17,1,10,0,3,2,200,4,3,2,17,2,1958,5
8690,53.5379,78,1,3,14,141,61,12,0,4,3,3,3,86,4,12,0,4,4,150,4,4,4,86,5,2004,1
8694,53.4703,48,1,1,7,343,228,12,0,0,4,9,9,57,4,10,0,1,1,150,4,4,4,57,4,1900,1
8695,53.2421,55,1,2,2,357,74,12,0,5,3,5,5,10,4,10,0,3,2,100,3,4,4,10,2,1971,3
8705,53.5817,66,3,1,1,251,52,24,0,5,3,3,3,100,4,10,0,3,4,250,4,4,4,100,5,1940,5
8706,53.2667,76,1,2,13,210,115,12,0,4,3,7,7,100,3,10,0,4,3,270,4,4,4,100,5,1979,1
8715,53.2667,48,3,2,7,565,89,24,0,5,3,5,5,30,1,20,0,3,4,250,4,3,2,30,3,1958,1
8718,53.5379,65,1,4,2,250,92,24,0,5,3,5,5,100,4,10,0,3,2,250,4,4,4,100,5,1958,3
8720,53.5379,48,1,3,7,607,67,24,0,5,3,4,4,57,3,10,0,3,1,100,3,2,2,57,4,1915,1
8725,53.5379,67,1,4,1,220,89,12,0,3,3,5,5,44,4,10,0,3,4,300,5,4,4,44,3,1915,5
8733,53.3809,40,1,1,7,236,95,12,0,5,3,4,4,100,2,20,0,3,1,100,3,2,4,100,5,1915,1
8735,53.5379,78,1,2,13,147,217,12,0,4,3,7,7,88,4,10,0,4,4,200,4,4,4,88,5,1993,1
8736,53.2667,63,1,1,7,171,179,12,0,5,3,6,6,100,3,10,0,3,4,200,4,3,4,100,5,1900,1
8756,53.5379,58,1,1,7,311,101,12,0,5,3,4,4,86,4,20,0,3,1,150,4,4,4,86,5,1915,1
8757,53.3809,34,1,1,7,232,145,12,0,5,3,7,7,67,2,10,0,3,1,200,4,2,4,67,4,1900,1
8759,53.5379,39,3,2,2,287,142,12,0,5,3,5,5,97,2,10,0,2,2,250,4,2,4,97,5,1958,3
8760,53.2558,70,1,3,11,197,85,12,0,4,3,4,4,80,4,10,0,4,3,300,5,4,4,80,5,1958,5
8766,53.2667,71,1,1,2,229,56,12,0,5,3,4,4,57,4,11,0,3,4,100,3,4,4,57,4,1999,3
8770,53.2558,61,1,2,2,270,123,24,0,4,3,7,7,44,2,21,0,4,4,150,4,4,4,44,3,1999,3
8774,53.5379,74,1,3,1,173,75,12,0,5,3,3,3,89,4,10,0,3,4,300,5,4,4,89,5,1958,5
8782,53.2667,60,1,2,2,203,104,24,0,5,3,5,5,100,3,10,0,3,4,200,4,3,3,100,5,1915,3
8785,53.5379,57,1,1,13,238,82,24,0,4,3,5,5,100,2,12,0,4,5,300,5,1,4,100,5,1958,1
8786,53.5817,42,1,1,7,309,85,12,0,0,3,4,4,64,3,10,0,1,2,270,4,3,4,64,4,1915,1
8787,53.2421,28,1,2,7,328,195,12,0,3,3,9,9,25,1,10,0,3,1,75,3,2,3,25,3,1900,1
8794,53.5379,66,3,2,1,268,66,12,0,3,3,3,3,100,4,10,0,3,4,300,5,4,4,100,5,1958,5
8804,53.3809,32,3,2,14,450,97,0,0,4,3,5,5,67,2,20,0,2,1,250,4,3,1,67,4,1958,1
8805,53.2558,41,1,1,11,720,67,24,0,5,3,4,2,100,3,10,0,3,1,200,4,3,3,100,5,1900,1
8807,53.3809,55,3,4,13,543,79,24,0,4,3,3,3,100,3,10,0,4,1,270,4,3,2,100,5,1900,1
8810,53.5379,75,1,1,7,175,74,12,0,4,3,3,3,100,4,12,0,4,4,250,4,4,2,100,5,2004,1
8812,53.3809,69,3,2,7,149,128,12,0,4,3,4,4,100,3,12,0,4,4,300,5,3,4,100,5,1900,1
8817,53.3809,23,1,2,7,464,85,24,0,5,3,4,4,80,2,10,0,3,1,150,4,3,1,80,5,1900,1
8830,53.2667,36,3,2,7,311,74,12,0,5,3,4,4,50,3,10,0,3,3,200,4,3,4,50,4,1971,1
8838,53.5379,65,1,3,7,248,104,12,0,5,3,4,4,55,4,20,0,3,1,75,3,4,4,55,4,1915,1
8854,53.5379,57,3,1,7,371,55,24,0,5,3,3,3,57,4,10,0,3,2,150,4,4,3,57,4,1958,1
8856,53.5379,62,3,1,7,298,75,12,0,5,3,4,4,56,3,10,0,3,4,270,4,4,4,56,4,1958,1
8857,53.5379,57,1,1,11,320,72,12,0,5,3,5,5,25,4,10,0,3,1,75,3,4,4,25,3,1940,5
8881,53.5379,63,1,2,2,234,188,12,0,5,3,6,6,100,4,10,0,3,1,200,4,4,4,100,5,1915,3
8885,53.3809,14,1,2,7,465,188,24,0,5,3,8,8,100,3,10,0,3,2,150,4,1,5,100,5,1900,1
8887,53.3809,64,1,4,7,256,100,12,0,5,3,5,5,18,4,10,0,3,1,250,4,4,4,18,2,1915,1
8898,53.3809,55,1,3,7,343,98,12,0,3,3,5,5,55,4,10,0,3,1,200,4,4,4,55,4,1915,1
8911,53.2558,65,1,2,2,264,71,12,0,3,3,4,4,50,4,11,0,3,4,100,3,4,4,50,4,1999,3
8913,53.2421,67,3,1,1,235,52,24,0,4,3,3,3,50,4,10,0,4,3,350,5,4,4,50,4,1940,5
8914,53.2667,62,1,2,7,273,111,12,0,5,3,5,5,33,4,10,0,3,3,250,4,4,3,33,3,1958,1
8915,53.5379,74,1,3,2,169,107,12,0,5,3,5,5,67,4,12,0,3,4,200,4,4,4,67,4,2004,3
8920,53.2667,49,1,2,2,254,110,24,0,5,3,5,5,56,2,10,0,3,2,75,3,3,4,56,4,1971,3
8921,53.5009,36,1,2,2,333,95,12,0,5,3,5,5,30,2,10,0,3,1,150,4,2,4,30,3,1915,3
8923,53.5379,72,1,3,5,186,77,12,0,5,3,3,3,75,4,10,0,3,3,150,4,4,4,75,5,1971,5
8924,53.5379,85,3,1,9,95,52,24,0,4,3,3,3,83,1,10,0,4,4,100,3,4,2,83,5,1971,5
8925,53.2667,60,1,3,7,297,103,24,0,4,3,6,6,75,3,10,0,4,4,200,4,4,4,75,5,1958,1
8947,53.5379,70,1,2,7,143,121,12,0,4,3,6,6,71,3,22,0,4,4,250,4,3,4,71,5,2007,1
8948,53.5379,47,1,2,7,220,205,12,0,5,3,8,8,100,3,10,0,1,4,400,5,3,1,100,5,1979,1
8967,53.2667,71,3,1,0,257,40,12,0,4,3,3,3,100,4,10,0,4,4,200,4,4,3,100,5,1993,5
8968,53.5379,50,1,3,7,353,104,24,0,5,3,5,5,100,4,40,0,2,1,200,4,4,4,100,5,1900,1
8969,53.5379,70,1,1,2,199,104,12,0,4,3,5,5,80,4,12,0,4,4,200,4,4,4,80,5,2004,3
8972,53.4703,64,1,3,13,288,69,12,0,3,3,4,3,100,3,20,0,3,4,200,4,4,4,100,5,1987,1
8976,53.4703,40,1,1,11,361,80,12,0,5,3,4,4,100,3,10,0,3,1,200,4,3,4,100,5,1900,3
8977,53.5379,62,1,2,2,178,132,12,0,4,3,5,5,88,3,20,0,4,4,300,5,3,4,88,5,1940,3
8983,53.2667,37,1,2,9,266,266,12,0,3,3,6,6,52,3,10,0,3,1,270,4,3,3,52,4,1900,1
8993,53.5379,48,1,2,7,405,89,12,0,0,3,4,4,9,4,10,0,1,1,270,4,4,4,9,1,1900,1
8995,53.2667,67,1,1,3,246,79,12,0,5,3,3,3,100,4,10,0,3,3,200,4,4,4,100,5,1958,1
8996,53.3809,74,1,2,7,171,123,12,0,4,3,7,7,38,4,12,0,4,4,300,5,4,4,38,3,2004,1
9003,53.5379,34,1,1,7,654,171,24,0,5,3,8,6,100,3,10,0,3,1,300,5,3,3,100,5,1900,1
9010,53.5379,58,1,1,13,256,100,12,0,3,3,5,5,83,3,10,0,3,4,150,4,3,3,83,5,1940,1
9020,53.5379,53,1,3,14,399,65,12,0,5,3,4,4,71,4,10,0,3,1,270,4,4,1,71,5,1915,3
9022,53.2558,67,3,2,7,237,80,12,0,4,3,4,4,13,4,10,0,4,3,250,4,4,4,13,2,1958,1
9024,53.2667,18,1,4,7,293,82,12,0,5,3,5,5,78,1,10,0,3,1,100,3,1,3,78,5,1915,1
9029,53.5379,61,3,1,14,464,56,24,0,4,3,4,4,100,3,10,0,4,4,250,4,2,2,100,5,1993,5
9035,53.2558,74,1,4,7,169,81,12,0,4,3,4,4,80,4,12,0,4,4,270,4,4,4,80,5,2004,1
9036,53.3809,70,2,1,7,220,75,12,0,5,3,2,2,100,4,10,0,3,4,200,4,4,4,100,5,1987,1
9042,53.2558,71,1,2,7,188,124,12,0,4,3,6,6,75,4,10,0,4,4,150,4,4,4,75,5,1993,1
9047,53.4703,59,1,2,13,180,216,12,0,3,3,8,8,82,3,10,0,3,2,270,4,3,4,82,5,1900,1
9050,53.2421,67,1,1,1,222,90,12,0,4,3,5,5,82,4,10,0,4,3,250,4,4,4,82,5,1958,5
9054,53.3809,55,1,2,3,228,99,12,0,5,3,5,5,82,2,10,0,3,4,300,5,3,1,82,5,1958,1
9060,53.5379,85,1,2,12,68,228,12,0,4,3,9,8,100,2,11,0,4,4,250,4,4,3,100,5,1999,1
9062,53.5379,76,1,3,7,155,68,12,0,4,3,5,5,30,4,12,0,4,4,270,4,4,4,30,3,2004,1
9066,53.2558,71,1,2,7,185,197,12,0,3,3,9,9,62,4,11,0,3,4,200,4,4,3,62,4,1999,1
9069,53.5817,75,1,1,7,193,84,12,0,5,3,5,5,36,3,10,0,3,3,300,5,4,4,36,3,1971,1
9072,53.5379,72,1,4,7,195,81,12,0,3,3,4,4,78,4,10,0,3,4,100,3,4,4,78,5,1979,1
9073,53.4703,52,1,1,1,335,83,12,0,5,3,5,5,30,2,20,0,3,4,100,3,3,4,30,3,1940,5
9074,53.5379,22,3,4,2,543,75,12,0,4,3,3,3,67,1,10,0,4,1,300,5,1,4,67,4,1915,3
9085,53.3809,62,3,2,7,166,164,12,0,3,3,5,5,75,1,10,0,3,4,250,4,2,3,75,5,1987,1
9086,53.5379,66,1,3,1,228,91,12,0,5,3,5,5,45,4,10,0,3,4,200,4,4,4,45,4,1958,5
9087,53.2558,75,1,2,7,160,176,12,0,7,3,8,8,97,4,10,0,4,3,300,5,4,4,97,5,1971,1
9094,53.5817,74,2,1,1,166,70,12,1,4,3,3,3,56,4,0,0,4,3,200,4,4,4,56,4,1958,5
9098,53.5379,62,1,3,1,282,91,12,0,3,3,4,4,83,3,10,0,3,4,300,5,4,4,83,5,1958,5
9100,53.2421,71,1,2,7,188,135,12,0,5,3,7,7,53,4,10,0,3,4,300,5,4,4,53,4,1993,1
9105,53.5379,70,3,1,7,247,48,12,0,4,3,3,3,57,4,10,0,4,4,200,4,4,4,57,4,1987,1
9107,53.5379,69,1,2,13,205,157,12,0,5,3,7,7,79,4,10,0,3,4,200,4,4,4,79,5,1979,1
9110,53.5379,72,1,3,2,211,58,0,0,5,3,5,5,71,4,10,0,3,1,300,5,4,3,71,5,1915,3
9112,53.5379,65,1,3,7,244,81,12,0,4,3,4,4,42,4,10,0,4,2,200,4,4,3,42,3,1915,1
9114,53.5379,39,1,2,0,456,120,12,0,3,3,6,6,63,2,20,0,3,2,200,4,4,3,63,4,1971,1
9118,53.3809,54,3,2,7,344,85,12,0,3,3,3,3,7,3,10,0,3,4,200,4,4,4,7,1,1971,1
9124,53.3809,74,1,2,7,160,119,12,0,4,3,7,7,80,4,12,0,4,4,200,4,4,4,80,5,2004,1
9128,53.2667,81,3,2,7,155,83,12,0,4,3,4,4,78,4,10,0,4,3,100,3,4,4,78,5,1958,1
9133,53.5379,51,1,2,2,168,323,12,0,5,3,10,10,57,3,20,0,3,4,100,3,3,5,57,4,1987,3
9149,53.3809,40,1,2,0,428,142,12,0,4,3,10,9,42,4,20,0,4,1,25,2,4,4,42,3,1900,1
9153,53.5379,57,1,3,2,309,83,12,0,4,3,5,5,60,4,10,0,4,1,200,4,4,3,60,4,1915,3
9157,53.3809,74,1,1,7,165,104,12,0,4,3,6,6,75,4,12,0,4,4,200,4,4,4,75,5,2004,1
9158,53.5379,60,1,4,14,292,95,12,0,5,3,5,5,11,4,20,0,3,2,270,4,4,3,11,2,1940,3
9160,53.4703,71,1,1,7,218,76,12,0,4,3,4,4,60,4,10,0,4,4,100,3,4,4,60,4,1971,1
9162,53.5379,74,2,3,2,193,50,12,2,4,3,2,2,43,4,0,0,4,2,150,4,4,4,43,3,1915,3
9164,53.3809,73,1,2,3,170,158,0,0,4,3,7,7,18,4,12,0,4,4,250,4,4,3,18,2,2004,1
9170,53.2421,71,1,2,7,183,126,12,0,4,3,6,6,5,4,12,0,4,4,270,4,4,4,5,1,2004,1
9179,53.2558,67,3,2,13,206,155,12,0,3,3,6,6,33,4,10,0,3,4,200,4,4,4,33,3,1940,1
9181,53.2667,65,1,4,11,244,83,24,0,4,3,5,5,91,4,10,0,4,3,150,4,4,3,91,5,1958,5
9186,53.2421,61,1,2,7,178,134,12,0,5,4,6,6,86,4,10,0,3,4,150,4,3,4,86,5,1971,1
9192,53.5379,55,3,2,7,136,213,12,0,4,3,8,8,90,2,22,0,4,4,300,5,2,4,90,5,1940,1
9195,53.2558,61,2,1,7,302,77,0,1,5,3,3,3,32,4,0,0,3,2,100,3,4,4,32,3,1958,3
9196,53.2558,78,1,2,7,125,188,12,0,4,3,9,9,100,5,12,0,4,4,300,5,4,4,100,5,2004,1
9197,53.2558,61,1,1,13,294,86,12,0,3,3,5,5,38,4,10,0,3,4,100,3,4,4,38,3,1993,1
9212,53.2558,63,1,1,7,285,70,12,0,5,3,5,5,45,3,21,0,3,4,150,4,4,3,45,4,1999,1
9221,53.2558,71,1,2,13,188,140,24,0,4,3,6,6,50,4,10,0,4,4,270,4,4,4,50,4,1993,1
9228,53.2667,48,3,2,7,431,78,12,0,4,3,2,2,50,4,10,0,4,4,250,4,4,4,50,4,1915,1
9245,53.5379,72,1,2,2,196,78,12,0,4,3,5,5,90,4,12,0,4,4,250,4,4,4,90,5,2004,3
9249,53.2421,70,1,1,7,212,83,12,0,5,3,6,6,67,4,10,0,3,4,50,2,4,4,67,4,1971,1
9252,53.5817,42,1,1,0,312,84,12,0,0,3,5,4,22,3,10,0,1,2,300,5,3,4,22,2,1915,3
9256,53.3809,57,3,1,7,293,131,12,0,3,3,6,6,47,4,10,0,3,1,100,3,4,4,47,4,1900,1
9258,53.5379,36,1,1,2,293,169,12,0,3,3,7,7,43,2,10,0,3,1,270,4,2,3,43,3,1900,3
9267,53.4703,43,3,2,2,243,63,12,0,5,3,3,3,100,2,10,0,3,3,300,5,2,4,100,5,1915,3
9277,53.2667,66,3,1,11,268,57,12,0,4,3,4,4,86,4,10,0,4,3,300,5,4,4,86,5,1940,5
9278,53.2667,5,1,1,0,1159,77,12,0,5,3,5,1,80,1,10,0,3,1,50,2,1,2,80,5,1915,3
9290,53.5817,69,1,1,7,220,81,12,0,5,3,6,6,100,4,10,0,3,3,270,4,4,3,100,5,1971,1
9293,53.2421,47,3,1,7,467,51,24,0,3,3,3,3,50,2,10,0,3,3,250,4,1,4,50,4,1971,1
9299,53.2558,59,3,2,5,290,129,12,0,5,3,4,4,100,4,10,0,3,2,250,4,4,4,100,5,1958,1
9302,53.2667,67,1,1,7,265,63,12,0,5,3,5,5,67,4,11,0,3,4,150,4,4,3,67,4,1999,1
9303,53.5379,75,3,3,1,180,56,12,0,4,3,4,4,17,4,22,0,4,4,250,4,4,4,17,2,2004,5
9304,53.4703,60,3,4,12,307,51,12,0,4,3,3,3,50,1,10,0,4,4,250,4,4,3,50,4,1958,5
9312,53.5379,39,1,1,14,331,95,12,0,4,3,5,5,33,1,10,0,4,2,12,1,3,2,33,3,1971,1
9324,53.2421,68,3,2,2,252,59,12,0,5,3,4,4,100,4,10,0,3,4,250,4,4,4,100,5,1987,3
9325,53.2558,65,1,1,7,287,61,0,0,5,3,4,4,86,4,21,0,3,4,250,4,4,1,86,5,1999,1
9326,53.3809,71,1,1,14,200,101,12,0,5,3,6,6,60,4,10,0,3,4,50,2,4,4,60,4,1958,1
9328,53.2558,45,1,2,7,240,203,12,0,4,3,9,9,27,3,10,0,4,2,300,5,3,3,27,3,1900,1
9329,53.4703,89,3,1,12,76,54,24,0,4,3,3,3,83,1,10,0,4,4,250,4,4,3,83,5,1971,5
9332,53.5379,44,3,2,7,321,70,12,0,4,3,4,4,71,1,10,0,4,3,75,3,2,3,71,5,1958,1
9341,53.3809,44,3,1,7,324,102,12,0,4,3,2,2,100,4,10,0,4,2,150,4,4,3,100,5,1958,1
9343,53.2421,70,1,1,1,200,77,12,0,4,3,5,5,45,4,22,0,4,4,150,4,4,3,45,4,2004,5
9348,53.5379,61,1,1,2,297,76,12,0,0,1,4,4,71,4,10,0,4,1,100,3,4,3,71,5,1915,3
9359,53.5379,68,1,3,2,240,68,12,0,5,3,4,4,100,4,10,0,3,1,100,3,4,1,100,5,1915,3
9363,53.3809,72,1,4,7,192,99,12,0,3,3,5,5,12,4,10,0,3,4,150,4,4,4,12,2,1987,1
9364,53.5379,30,1,2,5,359,117,12,0,0,3,5,5,36,3,10,0,1,1,150,4,3,3,36,3,1900,1
9372,53.3809,78,1,2,7,141,113,12,0,4,3,6,6,100,4,12,0,4,4,250,4,4,4,100,5,2004,1
9379,53.3809,27,3,2,14,467,68,12,0,3,3,4,4,40,1,10,0,3,2,25,2,2,3,40,3,1971,1
9384,53.2558,71,1,1,7,216,59,24,0,4,3,4,4,45,4,10,0,4,4,150,4,4,4,45,4,1987,0
9385,53.5379,40,1,2,7,474,96,0,0,5,3,6,6,100,2,10,0,3,1,270,4,4,3,100,5,1940,1
9388,53.5379,39,1,2,7,454,131,12,0,5,3,7,7,100,2,10,0,3,1,200,4,4,1,100,5,1915,1
9393,53.2667,65,3,2,7,268,79,12,0,5,3,4,4,40,4,10,0,3,3,250,4,4,3,40,3,1971,1
9395,53.5379,38,1,1,14,586,84,24,0,5,3,5,5,45,3,20,0,3,2,100,3,2,2,45,4,1993,5
9400,53.2421,54,3,2,14,365,76,12,0,3,3,5,5,18,4,20,0,3,1,270,4,4,3,18,2,1915,1
9405,53.2558,60,1,1,2,308,55,24,0,5,3,3,3,67,4,10,0,3,2,270,4,4,4,67,4,1971,3
9413,53.5379,49,3,2,7,234,100,24,0,3,3,5,4,100,2,10,0,3,4,270,4,3,4,100,5,1987,1
9417,53.2558,42,3,2,2,201,104,12,0,3,3,5,5,91,2,21,0,3,4,270,4,2,3,91,5,1999,3
9420,53.5379,49,1,3,7,354,116,12,0,5,3,7,7,100,3,10,0,3,1,100,3,4,3,100,5,1915,1
9425,53.3809,61,1,3,2,319,65,12,0,5,3,3,3,100,2,10,0,3,4,250,4,4,3,100,5,1993,3
9436,53.3809,75,1,1,7,170,92,24,0,4,3,5,5,100,4,12,0,4,4,300,5,4,4,100,5,2004,1
9443,53.5379,86,3,1,1,112,54,24,0,4,3,3,3,86,4,20,0,4,3,150,4,4,4,86,5,1958,5
9444,53.3809,39,3,2,7,255,59,0,0,3,3,3,3,83,2,10,0,3,4,200,4,2,3,83,5,1940,1
9453,53.5817,73,1,1,7,176,109,12,0,4,3,6,6,88,4,10,0,4,4,400,5,4,4,88,5,1958,1
9456,53.5507,52,1,2,7,347,127,12,0,4,3,6,6,40,4,10,0,4,1,100,3,4,3,40,3,1900,1
9460,53.5379,36,1,2,0,328,96,24,0,3,3,4,4,13,3,10,0,3,1,300,5,3,4,13,2,1900,1
9461,53.4703,66,1,2,7,218,185,12,0,3,3,8,8,6,4,11,0,3,4,150,4,4,3,6,1,1999,1
9466,53.5817,65,1,2,7,240,141,12,0,5,3,7,7,100,4,10,0,3,4,200,4,4,4,100,5,1971,1
9468,53.5379,52,1,2,7,371,91,12,0,5,3,6,6,100,4,20,0,3,1,200,4,4,3,100,5,1940,1
9480,53.5379,30,3,3,2,568,49,12,0,3,3,3,3,17,3,10,0,3,1,200,4,1,4,17,2,1940,3
9481,53.2558,62,3,2,7,265,102,24,0,3,3,5,5,25,4,20,0,3,3,100,3,4,4,25,3,1979,1
9484,53.3809,77,1,2,7,143,115,12,0,4,3,6,6,60,4,12,0,4,4,270,4,4,4,60,4,2007,1
9485,53.5379,71,1,1,7,211,65,12,0,5,3,5,5,100,4,10,0,3,4,250,4,4,4,100,5,1987,1
9487,53.5379,24,3,2,14,371,173,12,0,3,3,7,6,36,2,10,0,3,2,12,1,2,3,36,3,1971,1
9491,53.5379,70,1,4,7,198,108,12,0,4,3,4,4,69,4,11,0,4,4,200,4,4,4,69,4,1999,1
9493,53.4703,71,1,3,7,208,85,12,0,5,3,4,4,10,4,10,0,3,3,50,2,4,4,10,2,1971,1
9494,53.4703,65,1,2,5,238,180,12,0,5,3,6,6,14,4,10,0,3,1,50,2,4,4,14,2,1940,1
9495,53.5379,62,1,1,7,292,77,12,0,5,3,4,4,100,4,10,0,3,1,150,4,4,4,100,5,1915,1
9503,53.3809,68,1,2,7,205,125,12,0,5,3,8,8,100,4,10,0,3,3,300,5,4,4,100,5,1971,1
9504,53.2421,50,1,4,7,294,115,12,0,4,3,7,7,92,2,10,0,4,1,270,4,3,1,92,5,1900,1
9510,53.5379,76,2,3,7,152,98,12,1,5,3,3,3,100,4,0,0,3,2,200,4,4,4,100,5,1940,1
9511,53.5379,71,1,1,7,203,77,24,0,4,3,5,5,100,4,10,0,4,4,270,4,4,4,100,5,1993,1
9512,53.5379,70,1,2,7,210,84,24,0,4,3,4,4,100,4,12,0,4,4,200,4,4,4,100,5,2004,1
9513,53.5379,28,1,2,7,327,189,24,0,5,3,6,6,100,1,10,0,3,1,50,2,2,3,100,5,1915,3
9516,53.2667,62,1,2,7,159,253,12,0,5,3,7,7,100,3,10,0,3,4,300,5,3,4,100,5,1900,1
9517,53.2558,65,3,1,14,260,84,24,0,3,3,6,6,60,4,10,0,3,3,150,4,4,4,60,4,1979,1
9519,53.3809,63,1,1,13,162,174,24,0,5,3,8,6,100,3,10,0,3,2,200,4,3,4,100,5,1958,1
9521,53.5817,57,1,3,7,342,71,12,0,5,3,3,3,25,3,10,0,3,1,100,3,4,3,25,3,1915,1
9523,53.5379,62,1,2,12,170,285,12,0,4,3,8,8,50,2,12,0,4,4,200,4,2,1,50,4,2007,1
9530,53.2667,67,1,2,7,252,76,12,0,3,3,5,5,80,4,11,0,3,4,200,4,4,3,80,5,1999,1
